# N1 latencies, N1 deflection, N1 Magnitude, SNR condition, EEG Session Counter, Experiment, Session, 1st RT percentiles, 10th RT percentiles, 30th RT percentiles, 50th RT percentiles, 70th RT percentiles, 90th RT percentiles, RT means, Cutoffs, Percent Removed, True Subject Index, Accuracy
241.0000,95.0000,-209.7176,0.0000,12.0000,1.0000,2.0000,556.1600,607.0000,724.0000,803.0000,897.8000,1034.4000,815.6286,0.0000,0.0000,3.0000,0.6571
167.0000,96.0000,-209.3670,2.0000,7.0000,2.0000,6.0000,422.9900,477.4000,520.7000,586.0000,674.4000,854.1000,640.4818,0.0000,0.0000,1.0000,0.9091
203.0000,115.0000,-206.6247,1.0000,0.0000,1.0000,1.0000,407.8500,517.5000,653.5000,794.5000,941.0000,1235.0000,837.5566,0.0000,0.0000,1.0000,0.7170
217.0000,53.0000,-204.2909,0.0000,35.0000,2.0000,7.0000,632.0000,791.0000,921.0000,1060.0000,1154.0000,1341.0000,1049.3762,0.0000,0.0000,11.0000,0.9010
187.0000,103.0000,-203.4188,1.0000,1.0000,1.0000,2.0000,399.7600,469.8000,587.8000,665.0000,766.8000,930.0000,689.5234,0.0000,0.0000,1.0000,0.8505
183.0000,108.0000,-200.9894,1.0000,42.0000,2.0000,5.0000,422.1200,465.0000,502.6000,553.0000,635.2000,793.4000,594.3738,0.0000,0.0000,13.0000,0.9533
177.0000,100.0000,-199.0405,2.0000,3.0000,2.0000,2.0000,420.0800,475.4000,541.6000,636.0000,701.8000,874.2000,643.2667,0.0000,0.0000,1.0000,0.8190
162.0000,103.0000,-198.5629,2.0000,44.0000,2.0000,7.0000,394.0100,434.1000,475.5000,516.0000,583.5000,728.8000,551.3039,0.0000,0.0000,13.0000,0.9804
192.0000,100.0000,-196.0743,1.0000,4.0000,2.0000,3.0000,365.7600,429.4000,501.2000,567.0000,647.0000,830.4000,603.3333,0.0000,0.0000,1.0000,0.8667
177.0000,114.0000,-193.3741,2.0000,38.0000,2.0000,1.0000,476.9000,560.0000,660.8000,730.0000,823.0000,1060.4000,773.4660,0.0000,0.0000,13.0000,0.8641
157.0000,89.0000,-191.8796,2.0000,9.0000,1.0000,1.0000,488.5400,539.2000,631.6000,707.0000,826.4000,1043.0000,771.2991,0.0000,0.0000,2.0000,0.6262
198.0000,108.0000,-191.3507,1.0000,3.0000,2.0000,2.0000,366.1200,412.0000,491.8000,565.0000,635.4000,813.4000,583.5701,0.0000,0.0000,1.0000,0.8318
161.0000,100.0000,-191.0253,2.0000,21.0000,1.0000,1.0000,428.6200,515.4000,597.4000,666.0000,731.4000,937.2000,703.4860,0.0000,0.0000,8.0000,0.7009
192.0000,121.0000,-187.8691,1.0000,40.0000,2.0000,3.0000,450.2500,482.5000,557.5000,627.5000,719.5000,862.0000,654.8019,0.0000,0.0000,13.0000,0.9434
173.0000,102.0000,-187.1088,2.0000,8.0000,2.0000,7.0000,409.8800,457.0000,568.0000,644.0000,708.2000,873.4000,665.1835,0.0000,0.0000,1.0000,0.8440
221.0000,126.0000,-184.7330,0.0000,17.0000,1.0000,1.0000,482.2500,627.0000,748.0000,811.0000,954.5000,1170.0000,873.2736,0.0000,0.0000,6.0000,0.7358
168.0000,95.0000,-182.5168,2.0000,14.0000,1.0000,2.0000,518.4000,608.8000,699.6000,794.0000,885.6000,1084.8000,818.7429,0.0000,0.0000,4.0000,0.7429
224.0000,98.0000,-179.6363,0.0000,18.0000,1.0000,2.0000,370.7400,568.0000,636.0000,731.5000,826.4000,1033.1000,760.9286,0.0000,0.0000,6.0000,0.6339
206.0000,97.0000,-173.6036,1.0000,2.0000,2.0000,1.0000,450.1400,613.0000,718.0000,834.0000,956.6000,1191.2000,865.7172,0.0000,0.0000,1.0000,0.7980
216.0000,91.0000,-172.8214,0.0000,34.0000,2.0000,6.0000,700.5300,874.1000,1005.5000,1123.5000,1216.7000,1420.8000,1124.3571,0.0000,0.0000,11.0000,0.8750
175.0000,103.0000,-170.8132,1.0000,44.0000,2.0000,7.0000,403.0700,442.1000,478.9000,518.5000,561.4000,745.5000,547.2745,0.0000,0.0000,13.0000,0.9412
222.0000,96.0000,-169.4834,0.0000,5.0000,2.0000,4.0000,470.2400,506.2000,585.0000,683.0000,805.3000,932.3000,709.4904,0.0000,0.0000,1.0000,0.7692
168.0000,94.0000,-169.1255,1.0000,10.0000,1.0000,2.0000,410.1500,495.5000,556.0000,652.0000,733.0000,1010.5000,703.7642,0.0000,0.0000,2.0000,0.6792
183.0000,54.0000,-168.7428,1.0000,7.0000,2.0000,6.0000,414.2600,501.3000,562.6000,661.0000,729.1000,870.7000,671.4423,0.0000,0.0000,1.0000,0.8750
200.0000,95.0000,-168.0503,1.0000,12.0000,1.0000,2.0000,493.5000,557.5000,649.0000,724.0000,821.0000,973.0000,749.0189,0.0000,0.0000,3.0000,0.6321
240.0000,117.0000,-166.0062,0.0000,11.0000,1.0000,1.0000,533.5100,656.4000,734.4000,820.0000,901.6000,1124.0000,855.3200,0.0000,0.0000,3.0000,0.6200
211.0000,111.0000,-162.3266,0.0000,6.0000,2.0000,5.0000,479.0000,552.0000,649.5000,740.5000,840.5000,958.5000,752.9717,0.0000,0.0000,1.0000,0.7547
225.0000,48.0000,-157.7280,0.0000,31.0000,2.0000,3.0000,538.0400,683.0000,757.6000,861.0000,1017.4000,1215.2000,908.8058,0.0000,0.0000,11.0000,0.8544
222.0000,108.0000,-153.9477,0.0000,33.0000,2.0000,5.0000,615.4800,708.2000,912.4000,1000.0000,1133.0000,1363.0000,1027.3619,0.0000,0.0000,11.0000,0.8857
177.0000,109.0000,-153.4985,2.0000,19.0000,1.0000,1.0000,418.9000,526.9000,586.5000,627.5000,680.0000,808.4000,651.0096,0.0000,0.0000,7.0000,0.6827
178.0000,113.0000,-152.9505,2.0000,39.0000,2.0000,2.0000,433.9000,505.5000,558.5000,625.5000,740.0000,915.5000,680.6875,0.0000,0.0000,13.0000,0.8958
198.0000,82.0000,-152.8820,1.0000,27.0000,1.0000,1.0000,578.2400,688.0000,848.0000,989.0000,1126.4000,1377.4000,1016.1359,0.0000,0.0000,11.0000,0.6893
